cycle,converged,status,neg2ll,nspp,gamlam.1,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd
1,false,Continue,-179.9974963228222,33,0.00000,0.19751496986909353,0.108516796708107,0.035270968147006455,111.66869754141027,102.02432572841644,1237.5059509440327
2,false,Continue,-260.6752867387208,36,0.00000,0.19366389922963254,0.10541880542039872,0.03349635218269234,108.2151797413826,100.36606341600418,1085.3239998801978
3,false,Continue,-260.6752867387208,36,0.00000,0.19366389922963254,0.10541880542039872,0.03349635218269234,108.2151797413826,100.36606341600418,1085.3239998801978
4,false,Continue,-328.4804382257622,38,0.00000,0.19256613983041365,0.10164834034442902,0.032635250087378026,109.64040458202362,106.00865066051483,875.4779669027705
5,false,Continue,-333.3100070307554,39,0.00000,0.1884997706749501,0.10097586655616761,0.032426076929259084,109.39611751299638,105.2123510837555,867.758512975285
6,false,Continue,-333.3100070307554,39,0.00000,0.1884997706749501,0.10097586655616761,0.032426076929259084,109.39611751299638,105.2123510837555,867.758512975285
7,false,Continue,-381.2390965420334,42,0.00000,0.19313391420614154,0.10474633163213731,0.02989955394706763,109.24387893506459,104.63780581951141,880.7426035828511
8,false,Continue,-381.2670034750924,42,0.00000,0.19305871821812226,0.10474633163213731,0.029915599398579854,108.93077637468066,104.63780581951141,893.4437625594832
9,false,Continue,-381.2670034750924,42,0.00000,0.19305871821812226,0.10474633163213731,0.029915599398579854,108.93077637468066,104.63780581951141,893.4437625594832
10,false,Continue,-391.0059730356849,41,0.00000,0.2006422736167908,0.108516796708107,0.031252209070674546,109.12685078818623,104.06326055526733,856.4361338204795
11,false,Continue,-391.0059730356849,41,0.00000,0.2006422736167908,0.108516796708107,0.03125220907067454,109.12685078818623,104.06326055526733,856.4361338204792
12,false,Continue,-401.20047808563527,43,0.00000,0.19414407650038254,0.10097586655616761,0.029591067708192316,109.22234762546628,105.2123510837555,842.0428758310677
13,false,Continue,-401.20047808563527,43,0.00000,0.19414407650038257,0.10097586655616761,0.02959106770819233,109.22234762546628,105.2123510837555,842.0428758310679
14,false,Continue,-408.44095113599764,44,0.00000,0.19911364296620537,0.12013171678781509,0.029489904016315332,108.10371193018827,103.30667912960052,821.9245731851831
15,false,Continue,-408.874247801619,45,0.00000,0.19682039323435888,0.108516796708107,0.029056333670003067,108.27473020553589,103.8061010837555,803.1512204511068
16,false,Continue,-408.8742478016115,45,0.00000,0.19682039323435888,0.108516796708107,0.029056333670003067,108.27473020553589,103.8061010837555,803.1512204511068
17,false,Continue,-409.37388471249426,40,0.00000,0.19186832112431526,0.0984466357946396,0.031212100482887924,108.64633755385876,102.95511662960052,893.0500229662036
18,false,Continue,-409.38162172517906,40,0.00000,0.1918683211243153,0.0984466357946396,0.03121210048288793,108.62875942885876,102.95511662960052,892.365633558851
19,false,Continue,-409.38162172517906,40,0.00000,0.1918683211243153,0.0984466357946396,0.03121210048288793,108.62875942885876,102.95511662960052,892.365633558851
20,false,Continue,-409.6238828341528,43,0.00000,0.19615317705897398,0.108516796708107,0.029974390087486452,107.82166402007259,102.10413217544556,847.0555280380341
21,false,Continue,-409.99618828799487,43,0.00000,0.19628124663774357,0.108516796708107,0.029946168897404535,107.5918022006057,102.10413217544556,847.4931577144432
22,false,Continue,-410.7401990233001,43,0.00000,0.19628124663774357,0.108516796708107,0.029946168897404535,107.58362632851268,102.10413217544556,847.2787805535568
23,false,Continue,-411.47753448287915,42,0.00000,0.19887445288101832,0.108516796708107,0.03038034760641424,107.65682633434024,101.38368546962738,867.6991896363656
24,false,Continue,-412.2094556743333,41,0.00000,0.19520359553069605,0.108516796708107,0.03055974920837441,108.09548633854564,102.10413217544556,880.6018406363266
25,false,Continue,-412.8320677276409,41,0.00000,0.19520359553069605,0.108516796708107,0.03055974920837441,108.08691164342369,102.10413217544556,880.4412132209854
26,false,Continue,-413.3216721197535,41,0.00000,0.19520359553069605,0.108516796708107,0.03055974920837441,108.07833694830174,102.10413217544556,880.2989745072921
27,false,Continue,-413.6780887748466,41,0.00000,0.19520359553069605,0.108516796708107,0.03055974920837441,108.06976225317979,102.10413217544556,880.1751244952477
28,false,Continue,-413.90130653158434,41,0.00000,0.19520359553069605,0.108516796708107,0.03055974920837441,108.06118755805784,102.10413217544556,880.069663184851
29,false,Continue,-414.0044397813401,41,0.00000,0.19520359553069605,0.108516796708107,0.03055974920837441,108.04403816781392,102.10413217544556,880.708422293878
30,false,Continue,-414.04430750827817,41,0.00000,0.19520359553069605,0.108516796708107,0.030559749208374416,108.03546347269197,102.10413217544556,881.0776455959776
31,false,Continue,-414.04430750827817,41,0.00000,0.19520359553069605,0.108516796708107,0.030559749208374416,108.03546347269197,102.10413217544556,881.0776455959776
32,false,Continue,-415.4550742674642,45,0.00000,0.18947226988580493,0.1033188353061676,0.029132634453211306,108.3171763420105,103.9818823337555,805.7127539214551
33,false,Continue,-415.9801546452304,45,0.00000,0.18947226988580496,0.1033188353061676,0.029160342439002174,108.3288950920105,103.9818823337555,805.4337599912743
34,false,Continue,-416.49893817515374,45,0.00000,0.18947226988580496,0.1033188353061676,0.029160342439002174,108.3406138420105,103.9818823337555,804.811828591844
35,false,Continue,-416.9905432116261,46,0.00000,0.19176479578743813,0.1059178160071373,0.028733616449321243,108.43487314555956,104.72569644451141,786.6971124304557
36,false,Continue,-417.4691023460744,44,0.00000,0.1871820368409157,0.10078960454463959,0.02957579163959956,108.27403025193648,102.69144475460052,822.4607349614517
37,false,Continue,-417.8987630544734,44,0.00000,0.18718203684091572,0.10078960454463959,0.02957579163959957,108.28601533716375,102.76201367378235,821.7464821776357
38,false,Continue,-418.275112481426,44,0.00000,0.18718203684091572,0.10078960454463959,0.02957579163959957,108.29400539398193,102.84990429878235,821.1475889831429
39,false,Continue,-418.6367974252738,44,0.00000,0.18712878755114296,0.10078960454463959,0.02958448896843274,108.29400539398193,102.93779492378235,820.6613942774441
40,false,Continue,-418.964875924888,43,0.00000,0.18425116172890332,0.09826037378311157,0.029915854375648372,108.10085216233897,102.0694887638092,837.8048276996544
41,false,Continue,-419.2348788896922,44,0.00000,0.18671330561258576,0.10078960454463959,0.029486871542202666,108.04104894399643,103.11357617378235,817.572725869505
42,false,Continue,-419.45102449645196,43,0.00000,0.18425116172890332,0.09826037378311157,0.029915854375648372,108.09676422629245,102.4210512638092,836.1890097854792
43,false,Continue,-419.631770349251,43,0.00000,0.18430564937425217,0.09826037378311157,0.029907793764785293,108.09676422629245,102.5968325138092,835.5668505993939
44,false,Continue,-419.8949270209057,43,0.00000,0.18430564937425217,0.09826037378311157,0.029907793764785293,108.08858835419943,102.7726137638092,835.1043214993882
45,false,Continue,-420.1244091723867,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25805013830012,103.46513867378235,816.6284334813765
46,false,Continue,-420.3272937995066,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25805013830012,103.55302929878235,816.3373212953145
47,false,Continue,-420.50715548959766,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25805013830012,103.64091992378235,816.0519577693176
48,false,Continue,-420.66313655311797,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25805013830012,103.72881054878235,815.7723429033861
49,false,Continue,-420.79676121202255,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25405510989103,103.72881054878235,815.536841349698
50,false,Continue,-420.91396117275707,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25405510989103,103.72881054878235,815.5885792902866
51,false,Continue,-421.0169900469414,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25405510989103,103.72881054878235,815.6431915609079
52,false,Continue,-421.10923033593235,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.25006008148193,103.72881054878235,815.8472310713205
53,false,Continue,-421.19371905983917,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.24606505307284,103.72881054878235,816.0526750839075
54,false,Continue,-421.2704406708857,44,0.00000,0.18723528613068838,0.10078960454463959,0.029589905624317285,108.24207002466375,103.72881054878235,816.2595235986703
55,false,Continue,-421.3393708445034,44,0.00000,0.1872352861306884,0.10078960454463959,0.02958990562431729,108.23807499625467,103.72881054878235,816.4677766156078
56,false,Continue,-421.40047514111006,44,0.00000,0.1872352861306884,0.10078960454463959,0.02958990562431729,108.23407996784557,103.72881054878235,816.6774341347202
57,false,Continue,-421.45370806019827,44,0.00000,0.1872352861306884,0.10078960454463959,0.02958990562431729,108.23008493943648,103.72881054878235,816.8884961560082
58,false,Continue,-421.4990124632525,44,0.00000,0.1872352861306884,0.10078960454463959,0.02958990562431729,108.22608991102739,103.72881054878235,817.1009626794709
59,false,Continue,-421.5363193368195,44,0.00000,0.1872352861306884,0.10078960454463959,0.02958990562431729,108.2220948826183,103.72881054878235,817.314833705109
60,false,Continue,-421.6342416588549,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.2220948826183,103.72881054878235,817.314833705109
61,false,Continue,-421.74722880594794,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.2180998542092,103.72881054878235,817.5301092329219
62,false,Continue,-421.8522200679092,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.21410482580012,103.72881054878235,817.7467892629096
63,false,Continue,-421.9491199176608,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.21010979739103,103.72881054878235,817.9648737950729
64,false,Continue,-422.0378307703256,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.20611476898193,103.72881054878235,818.184362829411
65,false,Continue,-422.1182523209338,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.20211974057284,103.72881054878235,818.4052563659241
66,false,Continue,-422.19028103992724,44,0.00000,0.18728853542046114,0.10078960454463959,0.029581962666872318,108.19812471216375,103.72881054878235,818.6275544046124
67,false,Continue,-422.2538098167557,44,0.00000,0.18728853542046114,0.10078960454463959,0.029581962666872318,108.19412968375467,103.72881054878235,818.8512569454757
68,false,Continue,-422.30872774055246,44,0.00000,0.18728853542046114,0.10078960454463959,0.029581962666872318,108.19013465534557,103.72881054878235,819.0763639885139
69,false,Continue,-422.3549200058183,44,0.00000,0.18728853542046114,0.10078960454463959,0.029581962666872318,108.18613962693648,103.72881054878235,819.3028755337274
70,false,Continue,-422.3922679300115,44,0.00000,0.18728853542046114,0.10078960454463959,0.029581962666872318,108.18214459852739,103.72881054878235,819.5307915811161
71,false,Continue,-422.42064906925924,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.1781495701183,103.72881054878235,819.7601121306801
72,false,Continue,-422.4399374181183,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.1741545417092,103.72881054878235,819.9908371824185
73,false,Continue,-422.45000367943294,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.17015951330012,103.72881054878235,820.222966736332
74,false,Continue,-422.4507155909594,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.16616448489103,103.72881054878235,820.4565007924209
75,false,Continue,-422.4507155909594,44,0.00000,0.18728853542046114,0.10078960454463959,0.02958196266687232,108.16616448489103,103.72881054878235,820.4565007924209
76,false,Continue,-423.0152251919377,45,0.00000,0.18533446466234,0.09826037378311157,0.029572039798336322,108.02058446407318,103.4757387638092,822.1723086218885
77,false,Continue,-423.1227318250757,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.64260828495026,103.4757387638092,811.4621849465614
78,false,Continue,-423.21847290927326,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.64260828495026,103.4757387638092,811.7556031443693
79,false,Continue,-423.30268187945774,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.64456140995026,103.4757387638092,812.1843288729968
80,false,Continue,-423.37533718119647,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.64260828495026,103.4757387638092,812.3898646767385
81,false,Continue,-423.4364058182993,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.64065515995026,103.4757387638092,812.5978505564966
82,false,Continue,-423.48584828270873,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63870203495026,103.4757387638092,812.8082865122714
83,false,Continue,-423.5236256586418,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,813.0211725440626
84,false,Continue,-423.5496996128174,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63479578495026,103.4757387638092,813.2365086518702
85,false,Continue,-423.56652696431706,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63479578495026,103.4757387638092,813.1573917773476
86,false,Continue,-423.5786300363761,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,813.0206386120681
87,false,Continue,-423.5885682831561,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,812.9507521345839
88,false,Continue,-423.5968143652551,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,812.8815679081872
89,false,Continue,-423.6033730091925,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,812.813085932878
90,false,Continue,-423.6082492527376,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,812.7453062086565
91,false,Continue,-423.61144839809765,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,812.6782287355225
92,false,Continue,-423.61297613617756,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63674890995026,103.4757387638092,812.6118535134757
93,false,Continue,-423.61303756626216,45,0.00000,0.19053637613773347,0.1044903196811676,0.029415245742087873,107.63870203495026,103.4757387638092,812.681457239839
94,false,Continue,-423.9241654762834,45,0.00000,0.18905300438616013,0.104416601395607,0.029053652905684842,108.22999739646912,104.0697729587555,803.1348212220851
95,false,Continue,-423.99347488860656,44,0.00000,0.18676655490235852,0.10133848758935929,0.02948239051428171,108.11495696956462,103.79472851753235,820.7088901512187
96,false,Continue,-424.0594201662601,44,0.00000,0.18676655490235852,0.10133848758935929,0.02948239051428171,108.11595572666688,103.81670117378235,820.2705745133326
97,false,Continue,-424.12022118083433,45,0.00000,0.1890660208792157,0.104416601395607,0.029050275654454248,108.23585677146912,104.0697729587555,801.8418453614319
98,false,Continue,-424.1756269422053,43,0.00000,0.189315226992341,0.104416601395607,0.029891735048743002,108.0108507012212,103.6515200138092,838.4069035775332
99,false,Continue,-424.22482232527307,44,0.00000,0.19160902919389985,0.10474633163213731,0.029428085675457016,108.13286924904043,103.88261914253235,819.2163020593414
100,false,Continue,-424.2678085911897,44,0.00000,0.18628889245770192,0.10133848758935929,0.02959956125118661,108.52043455297297,103.90459179878235,829.5208232750606
101,false,Continue,-424.3045738445441,44,0.00000,0.18628889245770192,0.10133848758935929,0.02959956125118661,108.52243206717752,103.92656445503235,829.2462705773695
102,false,Continue,-424.33510546628503,45,0.00000,0.1885989731555515,0.104416601395607,0.029166985227399224,108.62939405441284,104.0697729587555,810.6286374132183
103,false,Continue,-424.3600949577516,45,0.00000,0.1885989731555515,0.104416601395607,0.029166985227399224,108.63134717941284,104.0697729587555,810.3854651966664
104,false,Continue,-424.3813446502972,44,0.00000,0.18628889245770194,0.10133848758935929,0.02959956125118661,108.52442958138205,103.99248242378235,828.6337122121874
105,false,Continue,-424.3999194274057,44,0.00000,0.18634214174747468,0.10133848758935929,0.029611014389809745,108.34565206007524,104.01445508003235,828.1816933516208
106,false,Continue,-424.4159445934362,44,0.00000,0.1816780756522309,0.09708888940811158,0.029554069198966783,108.31184232776815,104.01445508003235,828.2945262703796
107,false,Continue,-424.4320630219548,46,0.00000,0.17741965824106465,0.09416017847061159,0.028651962624648322,108.07860348535621,104.01445508003235,797.2684009195139
108,false,Continue,-424.4491434802076,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42061829566956,104.0470278263092,809.7608275299764
109,false,Continue,-424.46497816101567,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42061829566956,104.0697729587555,809.5940755253879
110,false,Continue,-424.4800526713558,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.41964173316956,104.0697729587555,809.4533015640146
111,false,Continue,-424.4944007855741,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42061829566956,104.0697729587555,809.3519666835062
112,false,Continue,-424.508171942687,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42159485816956,104.0697729587555,809.2508931964584
113,false,Continue,-424.5213613165465,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42257142066956,104.0697729587555,809.1500811028708
114,false,Continue,-424.5339641768057,46,0.00000,0.17741965824106465,0.09416017847061159,0.028651962624648322,108.08242481687795,104.0478003025055,796.4234426200668
115,false,Continue,-424.5459759316804,46,0.00000,0.17741965824106465,0.09416017847061159,0.028651962624648322,108.08338014975838,104.0478003025055,796.3260482415756
116,false,Continue,-424.55739341449913,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42647767066956,104.0697729587555,808.8235745610139
117,false,Continue,-424.5682095631492,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42745423316956,104.0697729587555,808.7238060905703
118,false,Continue,-424.57842146225414,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42843079566956,104.0697729587555,808.624299013587
119,false,Continue,-424.5880249840671,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42940735816956,104.0697729587555,808.5250533300641
120,false,Continue,-424.5970161355508,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.43038392066956,104.0697729587555,808.4260690400016
121,false,Continue,-424.6053910649638,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.43136048316956,104.0697729587555,808.3273461433994
122,false,Continue,-424.6135568078512,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43136048316956,104.0697729587555,808.2364583336558
123,false,Continue,-424.6252761943133,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43233704566956,104.0697729587555,808.1381723932859
124,false,Continue,-424.636454570788,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43331360816956,104.0697729587555,808.0401478463763
125,false,Continue,-424.6470884699865,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43429017066956,104.0697729587555,807.9423846929271
126,false,Continue,-424.65717451353714,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43526673316956,104.0697729587555,807.8448829329383
127,false,Continue,-424.66670941212953,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43624329566956,104.0697729587555,807.7476425664098
128,false,Continue,-424.6756899659996,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43721985816956,104.0697729587555,807.6506635933416
129,false,Continue,-424.6841810109747,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43819642066956,104.0697729587555,807.5539460137338
130,false,Continue,-424.69777118556254,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43819642066956,104.0697729587555,807.4725385936719
131,false,Continue,-424.71038723467314,46,0.00000,0.17741965824106465,0.09416017847061159,0.028652069364975944,108.09579947720404,104.0478003025055,794.8366634428372
132,false,Continue,-424.7220340073572,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43819642066956,104.0697729587555,807.3107771301791
133,false,Continue,-424.7328524380831,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43721985816956,104.0697729587555,807.1660081920691
134,false,Continue,-424.7428808117967,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43624329566956,104.0697729587555,807.0215006474194
135,false,Continue,-424.75211922392435,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43526673316956,104.0697729587555,806.8772544962302
136,false,Continue,-424.76056777791194,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43429017066956,104.0697729587555,806.7332697385012
137,false,Continue,-424.76822658575657,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43331360816956,104.0697729587555,806.5895463742327
138,false,Continue,-424.77603585959446,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.43136048316956,104.0697729587555,806.4523413760332
139,false,Continue,-424.7874221908378,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.43038392066956,104.0697729587555,806.309051066602
140,false,Continue,-424.79801251618653,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42940735816956,104.0697729587555,806.1660221506311
141,false,Continue,-424.80780714571995,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42843079566956,104.0697729587555,806.0232546281205
142,false,Continue,-424.8168064164518,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42745423316956,104.0697729587555,805.8807484990704
143,false,Continue,-424.8250106937673,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42647767066956,104.0697729587555,805.7385037634806
