cycle,converged,status,neg2ll,nspp,gamlam.0,ke0.mean,ke0.median,ke0.sd,v0.mean,v0.median,v0.sd
1,false,In progress,12699.67837721922,95,1.10000,0.9425531881733943,0.7994130760431291,0.30933141090548166,1.057964026472192,1.0351990088343621,0.04523285511483112
2,false,In progress,8870.144526008244,95,1.32000,0.9396515936119514,0.7994130760431291,0.3073373669504414,1.0588864820617119,1.0351990088343621,0.04511846425470028
3,false,In progress,4824.456060610838,95,1.84800,0.9400285897443169,0.7994130760431291,0.3075668281283364,1.0585745768894144,1.0351990088343621,0.04514268075985957
4,false,In progress,2313.0715713345503,93,3.32640,0.9358438410105243,0.7994130760431291,0.30950750285384226,1.0541816144967076,1.026001518368721,0.044708436403848216
5,false,In progress,2116.074657969896,89,8.64864,0.9551191816615703,0.8651685605446499,0.31435386112942515,1.0545399841708007,1.0351990088343621,0.04483899466567608
6,false,In progress,2112.7095879525973,58,8.64864,0.9487769488973181,0.9094671790798506,0.33565399539266794,1.0566891683285398,1.0335712873756886,0.057690599627053835
7,false,In progress,2112.0552234492434,55,8.64864,0.9776814794865522,0.9559743771950405,0.33750833162038113,1.0441514779407326,1.0071902794122696,0.05751103055483252
8,false,In progress,2027.2232154367252,55,4.80480,0.9776814794865522,0.9559743771950405,0.33750833162038113,1.0441514779407326,1.0071902794122696,0.05751103055483252
9,false,In progress,2003.5673815434327,72,4.80480,0.9637506538325992,0.9513676255941392,0.3117908186337396,1.044273142397139,1.0090188584804536,0.048509502135265226
10,false,In progress,2000.7950495582847,73,4.80480,0.9612190386530471,0.9467608739932379,0.31110922898566223,1.0487102659504381,1.0108474375486374,0.04927592957198393
11,false,In progress,2000.6911332109069,73,4.80480,0.9612874864824288,0.9467608739932379,0.31117581687997853,1.0486037177693026,1.0108474375486374,0.04923631808231687
12,false,In progress,1973.8965324416022,73,5.76576,0.9612874864824288,0.9467608739932379,0.31117581687997853,1.0486037177693026,1.0108474375486374,0.04923631808231687
13,false,In progress,1973.8965331914605,65,5.76576,1.0002629062304131,0.9595500906308494,0.3181721943028031,1.0496974918841213,1.0108474375486374,0.05058177507190821
14,false,In progress,1968.0064772725095,69,5.76576,0.9487517804684849,0.8721734841664633,0.32746779276358745,1.0467148907211894,1.0071902794122696,0.049179773212113385
15,false,In progress,1967.4595564879876,70,5.76576,0.9533120915776211,0.9094671790798506,0.3233122560609014,1.0505029875001903,1.0090188584804536,0.05004860624356816
16,false,In progress,1965.7615885088876,70,5.49120,0.9533120915776211,0.9094671790798506,0.3233122560609014,1.0505029875001903,1.0090188584804536,0.05004860624356816
17,false,In progress,1965.7446207928256,72,5.49120,0.9377928422529391,0.8721734841664633,0.32279220759105026,1.0567224116022387,1.0108474375486374,0.05049647592263131
18,false,In progress,1965.7446207928256,72,5.49120,0.9377928422529391,0.8721734841664633,0.32279220759105026,1.0567224116022387,1.0108474375486374,0.05049647592263131
19,false,In progress,1961.1127113128723,75,5.49120,0.9477544247918662,0.8651685605446499,0.3182581232006615,1.0507080155006085,1.0108474375486374,0.04866277147457611
20,false,In progress,1960.5944869656096,76,5.42341,0.9402907144474357,0.8651685605446499,0.3182946201517949,1.054902989127322,1.0108474375486374,0.04905673482044091
21,false,In progress,1960.593847440636,76,5.42341,0.9402428691167583,0.8651685605446499,0.3182314637932776,1.05502022685625,1.0108474375486374,0.04908620058741035
22,false,In progress,1960.593847440636,76,5.42341,0.9402428691167583,0.8651685605446499,0.3182314637932776,1.05502022685625,1.0108474375486374,0.04908620058741035
23,false,In progress,1958.8711543715267,76,5.42341,0.9381609944371804,0.8651685605446499,0.32030632367418127,1.056420728575493,1.0108474375486374,0.049400193604627364
24,false,In progress,1958.585492097384,76,5.42341,0.9387855600160468,0.8651685605446499,0.31952330335542933,1.056364879306272,1.0108474375486374,0.04936117531375736
25,false,In progress,1958.585492097384,76,5.42341,0.9387855600160468,0.8651685605446499,0.31952330335542933,1.056364879306272,1.0108474375486374,0.04936117531375736
26,false,In progress,1956.0195093523143,79,5.42341,0.940918893386543,0.8496445246537528,0.3145596372228373,1.0531938208703147,1.0108474375486374,0.048233185880473727
27,false,In progress,1955.07740899406,78,5.42341,0.9307122698477193,0.8315716079870862,0.30912395751846244,1.0521811258890075,1.0090188584804536,0.04877752016420373
28,false,In progress,1955.07740899406,78,5.42341,0.9307122698477193,0.8315716079870862,0.30912395751846244,1.0521811258890075,1.0090188584804536,0.04877752016420373
29,false,In progress,1950.311944655953,78,5.42341,0.9278843929675907,0.8168745743234953,0.3199711161859916,1.0553595383925012,1.0108474375486374,0.04972009599989799
30,false,In progress,1949.1541710556075,77,5.35645,0.9074298276632894,0.7841046239932379,0.31296449173243657,1.0494067446422575,1.0108474375486374,0.048155688765385535
31,false,In progress,1948.83487034798,79,5.35645,0.8995926693597424,0.7412070246537528,0.30739501948270065,1.0498263304449935,1.0108474375486374,0.0470586313362702
32,false,In progress,1948.732426782215,77,5.35645,0.9082949153633861,0.7841046239932379,0.3132082925840889,1.051944337061752,1.0108474375486374,0.04803304583626375
33,false,In progress,1948.7288127432917,77,5.35645,0.9085296285668493,0.7841046239932379,0.31302381916201905,1.0517820075162974,1.0108474375486374,0.04805270432606654
34,false,In progress,1948.7288127432917,77,5.35645,0.9085296285668493,0.7841046239932379,0.31302381916201905,1.0517820075162974,1.0108474375486374,0.04805270432606654
35,false,In progress,1947.3458690492914,76,5.35645,0.9234468784039482,0.7886228531599045,0.31750544958063165,1.0460129202830795,1.0058940147304534,0.05065672393051517
36,false,In progress,1946.8552795023418,77,5.35645,0.9303520095090333,0.7841046239932379,0.3236798481118258,1.046668845425519,1.0071902794122696,0.04981232289167941
37,false,In progress,1946.732152002568,77,5.35645,0.9301172963055702,0.7841046239932379,0.3239414418103297,1.0465065158800646,1.0071902794122696,0.049746001557188856
38,false,In progress,1946.6629941151987,77,5.35645,0.9302346529073017,0.7841046239932379,0.32395364557841794,1.0465876806527918,1.0071902794122696,0.04981535838456599
39,false,In progress,1946.6629941151987,77,5.35645,0.9302346529073017,0.7841046239932379,0.32395364557841794,1.0465876806527918,1.0071902794122696,0.04981535838456599
40,false,In progress,1946.2891395387987,77,5.35645,0.9258574008296583,0.7841046239932379,0.3235226898024958,1.058254824451967,1.0124885336208342,0.047560559073163054
41,false,In progress,1945.9914123037697,77,5.35645,0.9186298630015679,0.7841046239932379,0.32156394178110065,1.064660778537447,1.0406709184527398,0.047693417923941495
42,false,In progress,1945.8867400881695,76,5.35645,0.9191247676495922,0.7841046239932379,0.32726676894050005,1.0652017037877286,1.0194800949597358,0.04942336918870115
43,false,In progress,1945.781186884097,75,5.35645,0.9265675720135375,0.7841046239932379,0.32749714046456985,1.0619054396610579,1.0233468125486374,0.048676372343562875
44,false,In progress,1945.7427120057491,74,5.35645,0.9176664363237116,0.7841046239932379,0.32565828854555,1.061530046117886,1.0194800949597358,0.04929839176029562
45,false,In progress,1945.7014215264812,75,5.35645,0.9265073289579817,0.7841046239932379,0.3272190572441408,1.0619471042443913,1.0233468125486374,0.04862685144887878
46,false,In progress,1945.688273378823,75,5.35645,0.92637669172287,0.7841046239932379,0.327046450025025,1.061001153034592,1.0187382211208342,0.048656813097558274
47,false,In progress,1945.6733404210722,76,5.35645,0.9349271978150336,0.807838115990162,0.32834149384890843,1.061460799038818,1.021042516834736,0.048024112447730145
48,false,In progress,1945.6719063320352,76,5.35645,0.9349271978150336,0.807838115990162,0.32834149384890843,1.0615019154039498,1.021042516834736,0.04803441953816695
49,false,In progress,1945.6668153250193,76,5.35645,0.9348677474312616,0.807838115990162,0.3283937444306302,1.0615019154039498,1.021042516834736,0.04803441953816695
50,false,In progress,1945.6642963704244,76,5.35645,0.9348677474312616,0.807838115990162,0.3283937444306302,1.0615430317690813,1.021042516834736,0.048044983593036994
51,false,In progress,1945.6594310436692,76,5.35645,0.9348082970474897,0.807838115990162,0.328446532233268,1.0615430317690813,1.021042516834736,0.048044983593036994
52,false,In progress,1945.6554935640424,76,5.35645,0.9348082970474897,0.807838115990162,0.328446532233268,1.061584148134213,1.021042516834736,0.048055804612340255
53,false,In progress,1945.65109484976,76,5.35645,0.9347488466637178,0.807838115990162,0.32849985725682146,1.061584148134213,1.021042516834736,0.048055804612340255
54,false,In progress,1945.6452824448243,77,5.35645,0.9335938889330085,0.7841046239932379,0.3231886834332008,1.0610874033123798,1.0233468125486374,0.04719589240373191
55,false,In progress,1945.6335709194375,75,5.35645,0.9413656890127396,0.8315716079870862,0.3295850166994999,1.0592935987223626,1.0187382211208342,0.048310145358773496
56,false,In progress,1945.6325293377674,76,5.35645,0.9353663891580023,0.807838115990162,0.3279259113149489,1.0611349253694637,1.021042516834736,0.047923686857743814
57,false,In progress,1945.6315438178708,76,5.35645,0.9353069387742302,0.807838115990162,0.32798039234857335,1.0611349253694637,1.021042516834736,0.047923686857743814
58,false,In progress,1945.6315438178708,76,5.35645,0.9353069387742302,0.807838115990162,0.32798039234857335,1.0611349253694637,1.021042516834736,0.047923686857743814
59,false,In progress,1945.5123617602621,78,5.35645,0.9281246264775594,0.8089676732818287,0.3199799878931713,1.0511652525004667,1.0058940147304534,0.0463075631372923
60,false,In progress,1945.4367946540883,79,5.35645,0.9372561026952436,0.8315716079870862,0.3197332923964743,1.0506223690695096,1.0071902794122696,0.04633298919060854
61,false,In progress,1945.4183266642287,76,5.35645,0.9379036340378877,0.8327011652787528,0.3257823887676689,1.0491405301777,1.0058940147304534,0.0477326352148911
62,false,In progress,1945.3935461047975,78,5.35645,0.9413144576880665,0.8327011652787528,0.32244997131311354,1.0520909745507667,1.013745461204052,0.046821393853873954
63,false,In progress,1945.3812329221835,77,5.35645,0.9340516103010672,0.8315716079870862,0.3225769944495812,1.0506636864679508,1.0071902794122696,0.04727654050706326
64,false,In progress,1945.3742439378789,76,5.35645,0.9375172065433701,0.8327011652787528,0.32619101808317535,1.049428344733621,1.013745461204052,0.04770033541649413
65,false,In progress,1945.3675481966075,76,5.35645,0.9374874813514843,0.8327011652787528,0.32615864231953373,1.0494283447336208,1.013745461204052,0.047715661031460466
66,false,In progress,1945.3623205174042,76,5.35645,0.9374577561595983,0.8327011652787528,0.32619421470457627,1.0494489029161869,1.0137061241054535,0.047711165464344604
67,false,In progress,1945.3585885510136,76,5.35645,0.9374280309677122,0.8327011652787528,0.3262305121380589,1.0494694610987527,1.0137061241054535,0.0477254356671458
68,false,In progress,1945.3555296049276,76,5.35645,0.9373983057758262,0.8327011652787528,0.32626621703759423,1.0494900192813186,1.0137061241054535,0.0477209383869337
69,false,In progress,1945.3507123988588,76,5.35645,0.9373388553920542,0.8327011652787528,0.32633848439959745,1.0494900192813186,1.0137061241054535,0.0477209383869337
70,false,In progress,1945.3503460117065,76,5.35645,0.9373388553920542,0.8327011652787528,0.32633848439959745,1.0495311356464498,1.0137061241054535,0.0477308380786432
71,false,In progress,1945.3443115923014,76,5.35645,0.9372794050082823,0.8327011652787528,0.32641101679058543,1.0495311356464498,1.0137061241054535,0.0477308380786432
72,false,In progress,1945.3443115923014,76,5.35645,0.9372794050082823,0.8327011652787528,0.32641101679058543,1.0495311356464498,1.0137061241054535,0.0477308380786432
73,false,In progress,1945.3175724016296,78,5.35645,0.9226541686134462,0.7592671524484953,0.3259158840287976,1.0503978789299266,1.0214331223034858,0.047971212879702796
74,false,In progress,1945.2978748706162,79,5.35645,0.9240416649021683,0.7863637385765713,0.32288137266553246,1.0619547754664969,1.0375460747027399,0.045722914507928494
75,false,In progress,1945.2940592278019,79,5.35645,0.9325820254877151,0.7863637385765713,0.327525126916478,1.0633194423381291,1.0375460747027399,0.04634623020566056
76,false,In progress,1945.2876452874764,81,5.35645,0.9209786537400002,0.7321705663204194,0.3209916938934287,1.0617239988198697,1.0375460747027399,0.04732937487499517
77,false,In progress,1945.2816035163305,80,5.35645,0.9244392053758107,0.7592671524484953,0.3240937018463493,1.066259299971849,1.0607914867758752,0.04624130571678411
78,false,In progress,1945.2794342588406,79,5.35645,0.9285237104932972,0.7863637385765713,0.3268969837855824,1.0649716203967834,1.0375460747027399,0.04670018405184575
79,false,In progress,1945.2767290304757,79,5.35645,0.9285237104932972,0.7863637385765713,0.32690166208439136,1.0649716203967834,1.0375460747027399,0.04670018405184575
80,false,In progress,1945.2759261291014,79,5.35645,0.9285237104932972,0.7863637385765713,0.32690166208439136,1.0649815091428276,1.0375460747027399,0.046697813195322735
81,false,In progress,1945.2745474387973,79,5.35645,0.9285094122997318,0.7863637385765713,0.3269191650362148,1.0649815091428276,1.0375460747027399,0.046697813195322735
82,false,In progress,1945.2741251650073,78,5.35645,0.9375629111844253,0.8095324519276621,0.3246054721309217,1.0655353183539713,1.0607914867758752,0.04727821666374545
83,false,In progress,1945.2725563376582,78,5.35645,0.937548429680686,0.8095324519276621,0.32462350073383905,1.0655353183539713,1.0607914867758752,0.04727821666374545
84,false,In progress,1945.2725541638454,79,5.35645,0.9297630228271969,0.7863637385765713,0.32525005321091516,1.064054751242294,1.0375460747027399,0.04684525991967917
85,false,In progress,1945.2645442983332,77,5.35645,0.9453969329905195,0.8550025449196498,0.32198090287157466,1.0543465095455,1.0233468125486374,0.04698865555600434
86,false,In progress,1945.2592382852451,76,5.35645,0.9476761346767868,0.8438518550992014,0.32240349693698434,1.0551195596177647,1.0220190305066108,0.047202768147279105
87,false,In progress,1945.2577345158033,80,5.35645,0.9353739830156167,0.8095324519276621,0.31711169463765027,1.0652814011572898,1.0607914867758752,0.04700429928677751
88,false,In progress,1945.255354980583,75,5.35645,0.9533336362388396,0.8550025449196498,0.3242784411751327,1.0558608886932697,1.0237374180173873,0.04780473245459805
89,false,In progress,1945.2537462399025,75,5.35645,0.9533185754749508,0.8550025449196498,0.32428875539317376,1.0558504725474362,1.0237374180173873,0.0478025449845181
90,false,In progress,1945.2527401922803,75,5.35645,0.952832182847129,0.8550025449196498,0.32374326610329457,1.0535158686718946,1.0237374180173873,0.04686034649768666
91,false,In progress,1945.2514376286153,74,5.35645,0.9455068620744053,0.8438518550992014,0.32410107227459956,1.051991909909571,1.0220190305066108,0.04732530935690864
92,false,In progress,1945.2509718798335,75,5.35645,0.9524178895817863,0.8550025449196498,0.32330350064525576,1.053996377609317,1.0237374180173873,0.04698738386575011
93,false,In progress,1945.2499187533326,74,5.35645,0.9455144942182677,0.8438518550992014,0.3241117360503384,1.0519866314572908,1.0220190305066108,0.04732396594945222
94,false,In progress,1945.2494143214583,75,5.35645,0.935872120952606,0.8327011652787529,0.3267090978753061,1.0516151833510086,1.0237374180173873,0.04669213853474987
95,false,In progress,1945.2483874043235,74,5.35645,0.945506862074405,0.8438518550992014,0.3241255957810541,1.0519866314572905,1.0222143332409859,0.04732233483449057
96,false,In progress,1945.2479022298592,75,5.35645,0.9358570601887173,0.8327011652787529,0.3267335361221521,1.051625599496842,1.0241280234861372,0.046691834346312765
97,false,In progress,1945.2471965251352,74,5.35645,0.9454992299305426,0.8438518550992014,0.32413948161079126,1.051991909909571,1.0224096359753607,0.04732232301174496
98,false,In progress,1945.2466655658145,74,5.35645,0.9454992299305424,0.8438518550992014,0.32414217323476363,1.051991909909571,1.0224096359753607,0.04732232301174496
99,false,In progress,1945.2460741083937,75,5.35645,0.9358419994248283,0.8327011652787529,0.32676067226460837,1.051636015642675,1.024518628954887,0.0466915464322898
100,false,In progress,1945.2455402582298,75,5.35645,0.9358344690428839,0.8327011652787529,0.3267701163151901,1.0516308075697582,1.024518628954887,0.04669290042864708
101,false,In progress,1945.2449318131767,75,5.35645,0.9358419994248283,0.8327011652787529,0.3267633533781149,1.051636015642675,1.024518628954887,0.04669183920680028
102,false,In progress,1945.2445937278753,75,5.35645,0.9358344690428839,0.8327011652787529,0.32677280604964043,1.0516308075697585,1.024518628954887,0.04669319732674218
103,false,In progress,1945.2439632296278,75,5.35645,0.9358419994248283,0.8327011652787529,0.32676605173350903,1.0516360156426752,1.024518628954887,0.04669214022848006
104,false,In progress,1945.2437459129499,75,5.35645,0.9358344690428839,0.8327011652787529,0.32677551302597824,1.0516360156426752,1.024518628954887,0.04669214022848006
105,false,In progress,1945.243460122669,74,5.35645,0.9454992299305426,0.8438518550992014,0.32415035297514666,1.0520077452664123,1.0226049387097356,0.04732047776096901
106,false,In progress,1945.24320108362,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520077452664123,1.0226049387097356,0.04732047776096901
107,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
108,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
109,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
110,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
111,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
112,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
113,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
114,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
115,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
116,false,In progress,1945.2430167955908,74,5.35645,0.9454915977866799,0.8438518550992014,0.32416010204268386,1.0520130237186927,1.0226049387097356,0.04731941050787019
117,false,In progress,1945.2428777691955,74,5.35645,0.9454763334989547,0.8438518550992014,0.3241796260405894,1.0520130237186927,1.0226049387097356,0.04731941050787019
118,false,In progress,1945.2423266107571,74,5.35645,0.9454763334989547,0.8438518550992014,0.3241796260405894,1.0520183021709733,1.0226049387097356,0.04731834737835606
119,true,Converged,1945.2423266107571,74,5.35645,0.9454763334989547,0.8438518550992014,0.3241796260405894,1.0520183021709733,1.0226049387097356,0.04731834737835606
